age,com_age,com_upvotes,comment,commenter,net,num_comments,op_upvotes,post_title,poster,reflink,tags
,2019-07-04 20:20:22 -0500,18,"
,
,I’ve been telling young women to watch for this for years. Get this supposedly dream guy to take them somewhere involving servants or some perceived lower class. Preferably a busy time where mistakes might happen. Watch how they treat them. Although some habitually fake this, lots of assholes out themselves when they have targets who can’t easily defend themselves. One might also look at it as a position of power they just , to abuse for fun.,I don’t know how often it works for most I tell. I have heard some good things. I see it myself plenty, though. Waiters, receptionists, store clerks, customer support… anything like that.",nickpsecurity,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 05:03:17 -0500,5,There are seriously people like this?  I thought this only happened in movies.,aerique,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 10:14:50 -0500, ,Remember kuro5hin? That guy would’ve been one of the polite ones on there.,lorddimwit,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 15:13:34 -0500, ,Really? My recollection of that site wasn’t as bad as yours seems to be…,adsouza,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 08:56:23 -0500, ,"In a recent post-interview dinner I had with some of my future teammates and VPs, they shared similar stories of rejected candidates. It’s anecdotal without a proper study, but I guess this happens quite a bit.",dsschnau,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 16:18:25 -0500, ,"The CTO who hired me at my last job told me he would always break his half hour interview up into a twenty minute interview with him that was always preceded by a ten minute interview with his secretary: “oh, sorry, Mr. Xxx is running late, can I get you a water or show you the restrooms?”,He suggested that this lead to at least one no hire and that made the exercise infinitely valuable.",owen,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 03:04:37 -0500,8,I like the write-up but I think it’s missing an important category: passive-aggressive. It’s harder to see than the overt forms of aggression listed but it details morale the same way.,mfeathers,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 03:36:28 -0500, ,Passive-aggressive communicators drain energy but are not stereotypically assholes.,gerikson,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 12:00:12 -0500, ,I knew you would say that.,gthm,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 03:50:48 -0500,7,"A+ for creative writing.  Otherwise, article is feel-good wishful thinking.  Power is power.  Someone with Michael-Jackson-level stats will be allowed–99.9% of the time–to get away with Michael-Jackson-level things.  Look at how the whole Andy Rubin situation played out.  Same thing for sports, politics, etc.,“No assholes” manifestos–especially ones coming from corporateland–are more CYA than true belief.",OhhhhYeaaaaah,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 05:54:49 -0500, ,"I’ve worked somewhere that looked like it had a “no asshole” policy. At least, they ostensibly care about employees being nice to each other. But I don’t think they were that good at conflict resolution. In two instances, they fired the one who went most , out of line (each lashed out in their own way), and went much lighter on the other party.,Someone caring to , like they don’t want toxic behaviour is more likely to squash the most visible negativity, instead of tracking down the root of the problem.,As much as I doubt the effectiveness of the article’s solutions, I still feel they’re onto something regarding the problem.",Loup-Vaillant,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 06:49:33 -0500, ,"I’ve seen that behaviour too, and ascribe it to the fallacy “we don’t hire assholes, therefore anything our employees do is not asshole behaviour”.",leeg,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 08:51:40 -0500, ,"You can have them at your company, I won’t have them at mine. Nearly ALWAYS people who are believed to be Michael Jackson level end up actually being Michael Scott level. Keeping a asshole around because they’re a rockstar is in my experience often in practice keeping an asshole around who is slightly below average in ability. Always fire them, never hire them. If they’re so special they can start their own business.",voronoipotato,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 09:23:17 -0500, ,"OC wasn’t an expression of personal values.
It was a lesson in physics.",OhhhhYeaaaaah,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 10:48:11 -0500, ,"Of course. :) I just was thinking about how people get excited about Michael Jackson’s that are really Michael Scott :P. I didn’t realize it was just an observation, apologies.",voronoipotato,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 08:14:14 -0500, ,"The whole article seems to focus on what to do as a business owner. The interesting question is what to do when you have to deal with an asshole, without having any authority. Or worse, when the asshole seems to be favoured by those who do (since assholes appear to outperform the non-assholes).",jornane,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 09:18:23 -0500, ,Just report them to and encourage others to. I would always get side channel requests from people because the sysadmin was an insufferable asshole and I had equal access to the same stuff. I’d tell them the same thing I did. Bug management and hr until they do something about it. Worst case scenario you quit.,prussian,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 14:06:59 -0500, ,"not entirely convinced about the smart or dumb part, but reading the article definitely made me realise that I’m guilty of half the things listed. I’m most likely an asshole.  what should one do to de-assholize himself, given that the managers or coworkers are not constantly correcting it?",lvl,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 14:52:21 -0500, ,"The best way to try and fix your own habits that may be hurting others is to just pay attention to those habits the best you can. Role reverse in situations where you may feel you want to express contempt and figure out either why you’re feeling that contempt or a better way to express what you want to say. Fixing bad habits of any kind is just a thing you need to keep on top of yourself with. Sometimes keeping a sort of journal of the things one feels they could do better helps people, sometimes it doesn’t. But what’s important is that you just pay attention best you can.",kel,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 15:33:35 -0500, ,,coventry,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 17:00:17 -0500, ,"Personally I am the most asshole when I’m angry or unwell. if I can tell that’s happening, I try to:,
,
,
,Also, being unwell has a lot to do with it - I just don’t have resources left to put up with people. Taking care of yourself helps.",coypoop,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 17:11:15 -0500, ,"I’d say, look at people, listen to them, and learn to change your mind.,
,
,
,
,
,
",Loup-Vaillant,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 12:15:03 -0500,6,"I have simplified my personal grid to detect Smart Assholes.,In my exprience they all share this behaviour trait:
They are unable to say “I don’t know”, or “I am wrong”.
Seldom, when they finally say “I don’t know”, they are trying to hide information indeed.,My 2 cents.",stephane_rolland,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 11:48:23 -0500, ,"I’ll add sincere apologies to that. Some smart folks with poor social skills will screw up, have a hard time doing that in the moment, and come back to make amends realizing it. Then, they’ll try to avoid that screw up in the future. So, what you said plus not righting the wrongs a little later.",nickpsecurity,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 07:07:25 -0500, ,"Unpopular opinion ahead: I don’t think this corporate point of view onto the issue solves the , problem, it only gets it out of the hair of corporate and makes it someone else’s instead.,Let’s consider the assumption that an “asshole” can be “fixed”, i.e. will adjust their behavior after being reprimanded with sufficent frequency. As far as I can tell, you haven’t changed their nature, just the symptom. There must be an underlying reason why the person is like this: Be it stress, disliking their job (but feeling trapped into it with no viable alternatives) or possibly inherent malice. If and only if the cause was stress induced by other people at the workplace, this alleviates the cause as well as the symptoms. Otherwise, you’ve merely shifted the problem on someone else, such as their family or random strangers. Possibly, lacking an outlet for their “assholery”, this might even intensify the outlash at others outside a workplace. I’m not sure what would actually fix this; possibly some trips to the psychiatrist and subsequent therapdy and medication?,Let’s consider the assumption that an “asshole” cannot be “fixed”. In that case, it is a fixed personality trait, likely rooting in inherent malice. This article makes the point that assholes should not be permitted to work in a workplace. At the same time, the assumption is that they’re irredeemable. Thus, they cannot work in anything but one-person self-employment scenarios, which is an economically unrealistic scenario for many people. Therefore, these people cannot be allowed to work at all according to this line to thinking. What does a society do with people that cannot work? Banishing them out of the country or outright killing them is apparently out of the question for the morals of society right now, so they’d have to join welfare. In a capitalist state, the question turns into whether, on a macroeconomic scale, putting “assholes” on welfare comes cheaper than keeping them in the workforce.,In either case, you have an unsolved problem.",xorhash,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 07:26:54 -0500,7,"“Therefore, these people cannot be allowed to work at all according to this line to thinking. “,A tiny percentage of environments that read and apply writing like this won’t hire them. Most environments hire assholes. So, these people will be allowed to work in most environments. Might even thrive in them. They’ll simply go to the asshole-tolerating companies.",nickpsecurity,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 09:02:48 -0500, ,"
,
,They are already assholes to other people in their lives.",coypoop,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 12:33:15 -0500, ,"It is interesting to consider what you propose from a “corporate social responsibility” perspective: a company might then help society in general by helping resolve “assholistic” behaviour, and offering an environment where the person can improve and eventually resolve or reduce the problematic behaviour. This leads to interesting moral and ethical questions, and ultimately to the role of a company and its indirect social impact.",sebastien,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 08:54:34 -0500, ,I can just feel the glee with which Mr Hilton wrote this. I’m glad he was able to pass it ;),dsschnau,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 15:34:14 -0500, ,"This article lists a bunch of valid ways on detecting “assholes”, such as watching out for:,
,
,
,
,
,These are all perfectly good ways for weeding out abusive people from a community. But the issue is that the resilient assholes simply aren’t the ones who ever get caught acting like this.,In private, , assholes spread false rumors about others and their work, but stand up for the work of their friends on their Twitter feeds. Between themselves, they intentionally ignore contributions from people they feel slighted or intimidated by. In public, however, they write Medium posts on how important it is to get more newcomers into open source and blame everyone around them for sexism, racism, discrimination etc.,In private, they only accept technical arguments from the people they want to impress, and ignore technical arguments from people they want to shut out, especially when that doesn’t agree with their perspective. In public, they shame others for not focusing their speech or conduct on technical substance and for not being inclusive.,In private, they maintain and encourage myths about those they have a vendetta against (for usually petty or delusional reasons) and promulgate them through their circle of influence, they gossip about how someone was a “diversity hire”. In public, they proclaim loudly on Twitter about how they’re leading a donation drive to a “Minorities in Tech” group.,Figuring out the obvious assholes has been a solved problem for years, if not decades. Any competent leader knows how to do that. But what about the resilient assholes, the ones resolutely after political capital and influence at all costs? What’s being done to deal with those people? From my perspective, they just thrive more year by year.",nadim,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-05 18:06:39 -0500, ,"All these articles and opinions boil down to: I don’t want to deal with people who aren’t like me. How can I make that out group sound bad enough that I can exclude them from every part of my life while looking moral?,The problem is not one anyone wants to talk about because it isn’t about people, it’s about groups. An asshole in a group where that behavior is accepted will work a lot better than a non-asshole.,In the far off year of 2119 with their enlightened attitude on such things as anal extension rings and trans-species polymonogaphy a pleb like us from 2019 will seem as out of place as Jim Bob from Appalachia who still has trouble with mixed race couples. But if we brought back one of those higher beings to our time I doubt they would create a more productive team since most of their time will be spent explaining to us why non-ringed anuses are not only unhygienic but immoral.",antt,"{'age': '2019-07-04 15:56:06 -0500',
 'num_comments': ['32'],
 'op_upvotes': '48',
 'post_title': 'Assholes: A Probing Examination',
 'poster': 'Loup-Vaillant',
 'reflink': 'nomachetejuggling.com',
 'tags': ['practices']}",,,,,,
,2019-07-03 09:16:11 -0500,40,"I’m really thankful for lobste.rs as an alternative to the echo-chamber of hacker news. Great community, great moderation, productive and healthy conversations: that’s a lot to ask for from an internet community and you can find it here.",dsschnau,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 12:23:34 -0500,32,I’m glad to have a place to talk about programming and computers without necessarily bringing in the “tech industry” part.,qqbear,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-05 10:24:36 -0500, ,This is made possible by vigilant flagging! :),friendlysock,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-05 11:45:23 -0500, ,I can confirm since I see it in Recent regularly. There’s about a handful of you hard at work at that for years. Usually get to it before I even see it. Appreciate your efforts.,nickpsecurity,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-04 02:20:10 -0500,2,A thousand times this!,sjamaan,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 12:09:12 -0500,20,"At last, adulthood!  Downside, we’re now at legal harvesting age.
",binarymax,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 09:31:24 -0500,13,V.v.V,friendlysock,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 13:10:01 -0500,13,,whbboyd,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 14:29:21 -0500,11,"Wooooo! Seven years - amazing! Thank you all for being here, I really enjoy this community. It is currently the only place on the open internet where I can get into technical discussion and actually feel safe doing so.",Irene,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-04 02:22:30 -0500,2,"Wow, that’s great about lobste.rs, but at the same time pretty damning about the rest of the internet.",sjamaan,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 10:50:49 -0500,8,"Congratulations to the real hacker news! Thanks for keeping it small and focused.
Also, I love that there is no mobile app and I prefer it stays that way.",animesh,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-04 04:02:52 -0500,5,One statistic I’m interested in is the number of submitted stories authored by ppl from the community. I think this is a strong differentiator of Lobste.rs compared to other link aggregation sites.,kuijsten,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-04 06:41:50 -0500,2,"There appears to be an increase in them recently, too.",nickpsecurity,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 08:48:13 -0500,4,Thank you for being an awesome community.,xfbs,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
,2019-07-03 06:46:08 -0500,3,"Happy Birthday, Lobsters! And to all the venerable crustaceans who share the day.,I don’t have any particular favourites from this year that I can recall, but overall posts and comments are the highest quality of any site I know for topics relevant to Lobsters.",pgl,"{'age': '2019-07-03 06:25:30 -0500',
 'num_comments': ['30'],
 'op_upvotes': '275',
 'post_title': 'Happy 7th Anniversary, Lobsters',
 'poster': None,
 'reflink': None,
 'tags': ['announce']}",,,,,,
